Model,Loss,R2 Score,learning_rate,loss(MSE)
NeuralNet1,0.00013858766396879219,0.9440159924635926,0.001,0.00013858766396879219
NeuralNet1,0.0002813674808648001,0.9378213601106741,0.01,0.0002813674808648001
NeuralNet1,0.17469600112073952,-0.006696543434723257,0.1,0.17469600112073952
NeuralNet2,6.20975789489522e-05,0.9498753575073798,0.001,6.20975789489522e-05
NeuralNet2,0.000759614161021697,0.9454764212217545,0.01,0.000759614161021697
NeuralNet2,0.1792051705221335,-0.020343123773049587,0.1,0.1792051705221335
NeuralNet3,2.7149146464782665e-05,0.9392908844312927,0.001,2.7149146464782665e-05
NeuralNet3,7.672473111597355e-05,0.9492979301916136,0.01,7.672473111597355e-05
NeuralNet3,0.02663496560934517,0.7797975139847455,0.1,0.02663496560934517
NeuralNet4,9.370680587987106e-05,0.9442847217451016,0.001,9.370680587987106e-05
NeuralNet4,5.0306389210972055e-05,0.9467327822398426,0.01,5.0306389210972055e-05
NeuralNet4,0.22003663827975592,-0.11041054655344196,0.1,0.22003663827975592
