Model,Loss,R2 Score,learning_rate,loss(RMSE),loss(MSE)
NeuralNet1,0.013967109223206839,0.9447161180965237,0.001,,0.013967109223206839
NeuralNet1,0.02829257833460967,0.9342107102460437,0.01,,0.02829257833460967
NeuralNet1,0.43028352161248523,-9.353575512771606e-05,0.1,,0.43028352161248523
NeuralNet2,0.010030151215485401,0.9465662807142352,0.001,,0.010030151215485401
NeuralNet2,0.01344196063776811,0.9451460093301635,0.01,,0.01344196063776811
NeuralNet2,0.4200124459134208,-0.01700071470064768,0.1,,0.4200124459134208
NeuralNet3,0.007977126916456554,0.9432265250437436,0.001,,0.007977126916456554
NeuralNet3,0.011187891760427091,0.9406465372134581,0.01,,0.011187891760427091
NeuralNet3,0.2654285745488273,0.4831188629219866,0.1,,0.2654285745488273
NeuralNet4,0.007497497213383515,0.9487820551285446,0.001,,0.007497497213383515
NeuralNet4,0.009503236687224772,0.9467735900431352,0.01,,0.009503236687224772
NeuralNet4,0.4734257608652115,-0.009509746203087754,0.1,,0.4734257608652115
